Customer_id,Age,Gender,Newsletter
504308,53,0,0
504309,18,1,0
504310,52,1,1
504311,29,0,1
504312,21,1,1
504313,55,0,0
504314,17,1,0
504315,30,1,0
504316,51,0,1
504317,63,1,0
504318,26,0,0
504319,42,1,0
504320,40,0,0
504321,19,0,0
504322,30,1,0
504323,60,0,0
504324,22,0,0
504325,39,1,1
504326,21,1,0
504327,20,1,0
504328,54,0,0
504329,53,0,1
504330,22,1,0
504331,32,1,0
504332,36,1,0
504333,24,1,0
504334,57,1,0
504335,27,1,0
504336,21,0,0
504337,52,1,0
504338,52,1,1
504339,52,1,0
504340,55,0,0
504341,63,1,0
504342,17,0,0
504343,41,1,0
504344,32,1,1
504345,57,0,0
504346,39,1,0
504347,35,0,0
504348,48,1,1
504349,56,1,1
504350,60,0,0
504351,32,1,0
504352,49,1,0
504353,22,1,0
504354,25,1,0
504355,57,1,0
504356,50,0,1
504357,55,0,1
504358,27,1,0
504359,19,0,0
504360,33,1,0
504361,51,1,0
504362,63,0,0
504363,52,1,0
504364,34,1,0
504365,46,1,0
504366,63,1,0
504367,19,1,0
504368,17,0,0
504369,46,1,1
504370,59,1,0
504371,45,1,0
504372,29,1,0
504373,54,0,1
504374,46,1,0
504375,47,0,0
504376,45,1,0
504377,21,0,0
504378,25,1,0
504379,55,1,0
504380,40,1,0
504381,34,1,0
504382,45,1,0
504383,57,0,0
504384,32,0,0
504385,18,1,0
504386,39,1,0
504387,46,0,0
504388,41,0,0
504389,40,0,1
504390,54,1,0
504391,49,1,1
504392,56,1,0
504393,56,1,1
504394,18,1,0
504395,62,1,0
504396,17,1,0
504397,21,0,0
504398,26,1,0
504399,54,1,0
504400,26,0,0
504401,43,0,0
504402,43,1,0
504403,32,1,0
504404,52,1,0
504405,49,1,0
504406,61,0,1
504407,50,0,0
504408,32,1,0
504409,53,0,0
504410,36,0,0
504411,33,0,0
504412,48,1,0
504413,21,1,0
504414,35,0,0
504415,52,1,0
504416,30,1,0
504417,31,0,0
504418,55,0,0
